temperature,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,                capacity1,capacity2,capacity3,capacity4,capacity5,capacity6,capacity7,capacity8,capacity9,capacity10,                real1,imag1,abs1,real2,imag2,abs2,real3,imag3,abs3,real4,imag4,abs4,real5,imag5,abs5,real6,imag6,abs6,real7,imag7,abs7,real8,imag8,abs8,real9,imag9,abs9,real10,imag10,abs10,                Oldreal1,Oldimag1,Oldabs1,Oldreal2,Oldimag2,Oldabs2,Oldreal3,Oldimag3,Oldabs3,Oldreal4,Oldimag4,Oldabs4,Oldreal5,Oldimag5,Oldabs5,Oldreal6,Oldimag6,Oldabs6,Oldreal7,Oldimag7,Oldabs7,Oldreal8,Oldimag8,Oldabs8,Oldreal9,Oldimag9,Oldabs9,Oldreal10,Oldimag10,Oldabs10,                binder_ratio1,binder_ratio2,binder_ratio3,binder_ratio4,binder_ratio5,binder_ratio6,binder_ratio7,binder_ratio8,binder_ratio9,binder_ratio10,                gsop,accept_ratio,avg_length,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,J,k_B,
0.2,-0.333329861,-0.333333333,-0.333326389,-0.333333333,-0.333333333,-0.333333333,-0.333326389,-0.333333333,-0.333333333,-0.333329861,0.000260156,0,0.000519792,0,0,0,0.000519792,0,0,3.98E-14,-0.499989583,-0.86601939,0.999989583,-0.5,-0.866025404,1,-0.499989583,-0.866007362,0.999979167,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.5,-0.866001348,0.999979167,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.5,-0.866013376,0.999989583,-0.333331019,0.57734626,0.666662037,-0.333333333,0.577350269,0.666666667,-0.333319444,0.577334232,0.666645833,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.333310185,0.577326213,0.666634259,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.333321759,0.577338241,0.666650463,0.666666524,0.666666667,0.666666382,0.666666667,0.666666667,0.666666667,0.666666382,0.666666667,0.666666667,0.666666524, (-0.5-0.8660254037844352j),0.089603356,6.009386806,36,100,864,10000,1,-1,1,05-23_14_42
0.3,-0.333270833,-0.333260417,-0.333232639,-0.333270833,-0.333229167,-0.333270833,-0.333246528,-0.333243056,-0.333215278,-0.333232639,0.002045833,0.002379514,0.003490625,0.002045833,0.003368056,0.002045833,0.002821181,0.002931019,0.00403287,4.99E-13,-0.49990625,-0.865863024,0.9998125,-0.499875,-0.865844982,0.99978125,-0.499864583,-0.865754771,0.999697917,-0.499927083,-0.865850996,0.9998125,-0.499833333,-0.865760785,0.9996875,-0.499875,-0.865881066,0.999812501,-0.4999375,-0.865760785,0.999739586,-0.499833333,-0.865808897,0.999729167,-0.499833333,-0.865712672,0.999645833,-0.499833333,-0.865772813,0.999697917,-0.333208333,0.577205932,0.666479168,-0.333201389,0.577193903,0.666465279,-0.333118056,0.577105697,0.666347225,-0.333189815,0.577189894,0.66645602,-0.333134259,0.577117725,0.666365743,-0.333236111,0.577229988,0.666513889,-0.333099537,0.577097678,0.666331023,-0.333180556,0.577165838,0.666430557,-0.333087963,0.577069613,0.66630093,-0.333145833,0.577129753,0.666381946,0.666664143,0.666663731,0.666662363,0.666664143,0.66666251,0.666664143,0.666663185,0.66666305,0.666661692,0.666662644, (-0.5-0.8660254037844352j),0.089860648,6.0098,36,100,864,10000,1,-1,1,05-23_15_09
0.4,-0.332541667,-0.332482639,-0.332601852,-0.332565972,-0.332518519,-0.332545139,-0.332527778,-0.332451389,-0.332578704,-0.332539352,0.016291551,0.015601671,0.014674306,0.015317065,0.015584375,0.015691833,0.016547917,0.018021962,0.014474074,2.46E-12,-0.49865625,-0.86402272,0.997593763,-0.498635417,-0.863818242,0.997406253,-0.498854167,-0.864112931,0.997770834,-0.498864583,-0.863986636,0.997666667,-0.4985625,-0.863980622,0.997510441,-0.498520833,-0.864040762,0.997541708,-0.498677083,-0.863950551,0.997541673,-0.498625,-0.863752087,0.997343751,-0.498635417,-0.864143001,0.997687529,-0.4986875,-0.863920481,0.997520837,-0.331858796,0.57560619,0.664419105,-0.331680556,0.575433787,0.664180724,-0.331891204,0.575686378,0.66450476,-0.331766204,0.575558078,0.664331179,-0.331861111,0.575602181,0.664416788,-0.331935185,0.575650293,0.664495468,-0.331789352,0.57554204,0.664328845,-0.331606481,0.575345581,0.664067313,-0.331990741,0.5757385,0.664599633,-0.331770833,0.575517984,0.664298755,0.666628785,0.666630159,0.666632343,0.666630455,0.666630064,0.666625681,0.666628061,0.66662657,0.666631992,0.666625704, (-0.5-0.8660254037844352j),0.091563194,6.018071759,36,100,864,10000,1,-1,1,05-23_15_38
0.5,-0.330152778,-0.329869213,-0.329847222,-0.330013889,-0.330020833,-0.329902778,-0.329702546,-0.329952546,-0.329915509,-0.329725694,0.039946741,0.045708106,0.04104563,0.041752667,0.047800722,0.044531037,0.049380699,0.043364625,0.044670329,8.11E-12,-0.494864583,-0.857298995,0.989875004,-0.494375,-0.856595349,0.989020846,-0.4941875,-0.856643462,0.988968809,-0.4945,-0.857160672,0.989572972,-0.494833333,-0.856944165,0.989552086,-0.494052083,-0.856709617,0.988958456,-0.49428125,-0.856048069,0.988500001,-0.494197917,-0.856950179,0.989239703,-0.494020833,-0.856956193,0.989156459,-0.493979167,-0.856126252,0.988416702,-0.326833333,0.569788584,0.656870656,-0.32630787,0.569151093,0.656056243,-0.326446759,0.569351562,0.656299237,-0.32680787,0.569800613,0.656868421,-0.326520833,0.569487881,0.656454341,-0.326587963,0.56942774,0.656435564,-0.325831019,0.568718081,0.655443444,-0.326708333,0.569564059,0.656613701,-0.326789352,0.569672312,0.656747915,-0.326043981,0.568806287,0.655625861,0.666491312,0.66646606,0.666487404,0.666490582,0.666467156,0.666461742,0.666457473,0.666468481,0.666478352,0.666421791, (-0.5-0.8660254037844352j),0.098918866,6.041574306,36,100,864,10000,1,-1,1,05-23_16_19
0.6,-0.323935185,-0.323748843,-0.323846065,-0.323814815,-0.324085648,-0.324081019,-0.324201389,-0.323789352,-0.323802083,-0.324033565,0.086476337,0.092174765,0.090863526,0.084515895,0.083725244,0.082902405,0.08144258,0.093690471,0.088669544,1.39E-11,-0.484020833,-0.838974138,0.968583384,-0.483458333,-0.837927691,0.967395873,-0.48284375,-0.838715533,0.967771581,-0.483510417,-0.83822238,0.967677158,-0.483604167,-0.839623657,0.968938014,-0.482677083,-0.840098768,0.968887562,-0.484166667,-0.840080726,0.969614866,-0.482729167,-0.83876966,0.967761329,-0.483010417,-0.839016237,0.968115338,-0.483635417,-0.839064349,0.968468997,-0.313634259,0.554480784,0.63703641,-0.313162037,0.55399164,0.636378188,-0.313898148,0.554272296,0.636984949,-0.313358796,0.554107911,0.636576243,-0.31443287,0.555142331,0.638005515,-0.315175926,0.555627465,0.638793977,-0.314613426,0.555439025,0.638352659,-0.314020833,0.554661205,0.637383822,-0.314041667,0.554705309,0.637432465,-0.314081019,0.554861674,0.637587926,0.66597184,0.665840789,0.66587363,0.665904445,0.665996486,0.665986601,0.666023701,0.665862469,0.66597055,0.665866928, (-0.5-0.8660254037844352j),0.116120139,6.096834491,36,100,864,10000,1,-1,1,05-23_16_49
0.7,-0.312760417,-0.313188657,-0.312414352,-0.313168981,-0.312709491,-0.312049769,-0.313777778,-0.312978009,-0.313097222,-0.313505787,0.143873713,0.149477927,0.152013709,0.128500368,0.153019272,0.162470897,0.136775283,0.146746105,0.160179856,2.24E-11,-0.458854167,-0.80286569,0.924738051,-0.460197917,-0.804266967,0.926621539,-0.45765625,-0.800658528,0.92222737,-0.460885417,-0.804459417,0.927130153,-0.460822917,-0.799696278,0.922969066,-0.45675,-0.798691929,0.920070301,-0.462197917,-0.805566005,0.928742969,-0.459989583,-0.802486804,0.924973236,-0.457541667,-0.802769465,0.924003891,-0.4596875,-0.804693966,0.926738893,-0.2904375,0.52580973,0.600691113,-0.291226852,0.52709674,0.602199346,-0.28925463,0.524274138,0.598775094,-0.29124537,0.52735334,0.60243291,-0.287854167,0.524037585,0.597892475,-0.288189815,0.522862838,0.597025055,-0.291789352,0.527934699,0.603204835,-0.289898148,0.52516422,0.599865313,-0.291208333,0.525260445,0.60058374,-0.291965278,0.527309236,0.602742693,0.664280521,0.664229679,0.663989831,0.664550662,0.663905539,0.663293233,0.664414923,0.664091503,0.663531715,0.664111158, (-0.5-0.8660254037844352j),0.148899537,6.199786343,36,100,864,10000,1,-1,1,05-23_17_19
0.8,-0.297428241,-0.297238426,-0.296923611,-0.297324074,-0.29665162,-0.297293981,-0.293886574,-0.296275463,-0.296478009,-0.297741898,0.186139171,0.188012522,0.215303523,0.198270139,0.203234865,0.178560757,0.20727589,0.213013014,0.202004396,2.85E-11,-0.416739583,-0.743115951,0.85199366,-0.41565625,-0.740457734,0.84914532,-0.419385417,-0.737149998,0.848100376,-0.4126875,-0.742267968,0.849277757,-0.41078125,-0.739736046,0.846138673,-0.4211875,-0.743314415,0.854350765,0.528041667,-0.182310376,0.55862785,-0.400208333,-0.730973553,0.833360094,-0.410802083,-0.738725683,0.845265631,-0.418208333,-0.743615119,0.853148085,-0.255638889,0.479978543,0.54381122,-0.254076389,0.478098145,0.541417258,-0.250627315,0.477320326,0.539118488,-0.256247685,0.478106164,0.542446661,-0.254962963,0.475961147,0.539949188,-0.253944444,0.480339386,0.543335722,-0.276143519,-0.213820068,0.349248142,-0.253356481,0.466883918,0.531196856,-0.254094907,0.475652425,0.539267514,-0.255587963,0.480403536,0.544162443,0.659032694,0.658861456,0.657574542,0.658234788,0.657461926,0.66017748,0.656820586,0.657433606,0.657667954,0.659317594, (-0.5-0.8660254037844352j),0.194527894,6.390490972,36,100,864,10000,1,-1,1,05-23_18_03
0.85,-0.286898148,-0.287811343,-0.284092593,-0.282774306,-0.287555556,-0.285975694,-0.288476852,-0.284532407,-0.286015046,-0.286373843,0.222003717,0.209498653,0.2421858,0.254053747,0.206656568,0.206920593,0.186028553,0.210071613,0.230516005,3.01E-11,-0.372520833,-0.694155446,0.787796645,-0.382583333,-0.701456521,0.799006419,0.4586875,-0.190597758,0.49671091,0.158895833,-0.355840216,0.389705203,-0.381,-0.695827356,0.793307449,-0.3721875,-0.686818286,0.781180448,-0.3895625,-0.703958372,0.804559712,0.3223125,-0.276538751,0.424686977,-0.367208333,-0.687131017,0.779096268,-0.365260417,-0.68090646,0.772689316,-0.232541667,0.440245618,0.497887367,-0.234157407,0.447133727,0.504735833,-0.256710648,-0.164965811,0.305145991,-0.237854167,0.047563238,0.242563118,-0.231231481,0.444655932,0.501185491,-0.227643519,0.436532935,0.492323648,-0.233296296,0.449523316,0.506456685,-0.252543981,-0.064747427,0.260711894,-0.229872685,0.435566675,0.492503583,-0.227479167,0.42942431,0.48595474,0.650131173,0.653244426,0.646224811,0.641295288,0.651400708,0.650178771,0.655207608,0.646865382,0.648341076,0.652203244, (-0.5-0.8660254037844352j),0.222843866,6.539609954,36,100,864,10000,1,-1,1,05-23_18_34
0.9,-0.274439815,-0.273188657,-0.276200231,-0.274384259,-0.277150463,-0.273832176,-0.27403125,-0.275673611,-0.273466435,-0.275990741,0.233648468,0.246290259,0.226184887,0.235987334,0.222516912,0.223925067,0.232068517,0.217156602,0.218477616,3.17E-11,0.0456875,-0.388183859,0.390863219,0.151291667,-0.31682096,0.351090714,-0.26334375,-0.581481932,0.638334683,-0.146229167,-0.496064163,0.517167886,-0.34246875,-0.629859073,0.716943022,0.047729167,-0.392959027,0.395847029,0.006114583,-0.385880472,0.385928914,-0.026635417,-0.443531302,0.444330352,0.316114583,-0.237116553,0.395161599,-0.320166667,-0.631320491,0.707864575,-0.211527778,0.121235538,0.243807417,-0.210652778,0.045153602,0.215437788,-0.200439815,0.340724865,0.39530944,-0.197826389,0.254471141,0.322321022,-0.197291667,0.399293842,0.445375768,-0.214314815,0.121917132,0.246565664,-0.193643519,0.137040501,0.237229659,-0.214152778,0.175658819,0.27697912,-0.226641204,-0.068700673,0.236824867,-0.204724537,0.39191258,0.442162421,0.637109533,0.627683215,0.640898047,0.632178934,0.64026387,0.636155356,0.630089243,0.640650262,0.633526305,0.639603757, (-0.5-0.8660254037844352j),0.255326273,6.688863889,36,100,864,10000,1,-1,1,05-23_19_53
0.95,-0.263790509,-0.2634375,-0.265885417,-0.266115741,-0.266465278,-0.26624537,-0.264155093,-0.263002315,-0.264427083,-0.264622685,0.199709879,0.18927093,0.219233322,0.210318847,0.21458003,0.212238001,0.18603814,0.195597676,0.191349614,2.92E-11,-0.1393125,-0.478094135,0.497977886,0.07596875,-0.350650078,0.358785072,-0.1990625,-0.523259766,0.559845212,-0.113520833,-0.458644648,0.472484807,-0.24525,-0.547376168,0.599806828,-0.11846875,-0.464833121,0.479692272,-0.092927083,-0.452564428,0.462006498,0.120614583,-0.296535518,0.320126836,-0.203041667,-0.496773822,0.53666577,-0.0703125,-0.422909072,0.428714277,-0.177543981,0.253805584,0.309740439,-0.193652778,0.101332991,0.218562974,-0.182979167,0.294348403,0.346586725,-0.183231481,0.230074082,0.294122184,-0.179733796,0.325725786,0.372023555,-0.186277778,0.233810822,0.298942989,-0.181678241,0.218603255,0.284243498,-0.184587963,0.055233176,0.192674388,-0.167659722,0.285720224,0.33127908,-0.178543981,0.193296068,0.263137461,0.611812802,0.621033097,0.625205021,0.625399045,0.622974525,0.624760587,0.622793053,0.620311989,0.621575689,0.626555535, (-0.5-0.8660254037844352j),0.296741319,6.764128704,36,100,864,10000,1,-1,1,05-23_21_05
