temperature,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,                capacity1,capacity2,capacity3,capacity4,capacity5,capacity6,capacity7,capacity8,capacity9,capacity10,                real1,imag1,abs1,real2,imag2,abs2,real3,imag3,abs3,real4,imag4,abs4,real5,imag5,abs5,real6,imag6,abs6,real7,imag7,abs7,real8,imag8,abs8,real9,imag9,abs9,real10,imag10,abs10,                Oldreal1,Oldimag1,Oldabs1,Oldreal2,Oldimag2,Oldabs2,Oldreal3,Oldimag3,Oldabs3,Oldreal4,Oldimag4,Oldabs4,Oldreal5,Oldimag5,Oldabs5,Oldreal6,Oldimag6,Oldabs6,Oldreal7,Oldimag7,Oldabs7,Oldreal8,Oldimag8,Oldabs8,Oldreal9,Oldimag9,Oldabs9,Oldreal10,Oldimag10,Oldabs10,                binder_ratio1,binder_ratio2,binder_ratio3,binder_ratio4,binder_ratio5,binder_ratio6,binder_ratio7,binder_ratio8,binder_ratio9,binder_ratio10,                gsop,accept_ratio,avg_length,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,J,k_B,,,,average_capacity
0.2,-0.33333138,-0.333325521,-0.33333138,-0.333333333,-0.33333138,-0.33333138,-0.333329427,-0.33333138,-0.33333138,-0.333333333,0.000146338,0.000583594,0.000146338,0,0.000146338,0.000146338,0.000292383,0.000146338,0.000146338,0,-0.499994141,-0.866022021,0.999994141,-0.499988281,-0.866005106,0.999976562,-0.5,-0.866018638,0.999994141,-0.5,-0.866025404,1,-0.5,-0.866018638,0.999994141,-0.5,-0.866018638,0.999994141,-0.5,-0.866011872,0.999988281,-0.499994141,-0.866022021,0.999994141,-0.499994141,-0.866022021,0.999994141,-0.5,-0.866025404,1,-0.333332031,0.577348014,0.666664063,-0.333317708,0.577332227,0.666643229,-0.333326823,0.577343503,0.666657552,-0.333333333,0.577350269,0.666666667,-0.333326823,0.577343503,0.666657552,-0.333326823,0.577343503,0.666657552,-0.333320312,0.577336738,0.666648438,-0.333332031,0.577348014,0.666664063,-0.333332031,0.577348014,0.666664063,-0.333333333,0.577350269,0.666666667,0.666666621,0.666666486,0.666666621,0.666666667,0.666666621,0.666666621,0.666666576,0.666666621,0.666666621,0.666666667, (-0.5-0.8660254037844284j),0.067302474,6.117889844,48,100,1536,10000,1,-1,1,05-23_01_12,,,0.0001754
0.3,-0.33324349,-0.333247396,-0.333229818,-0.333264974,-0.333272786,-0.333249349,-0.333272786,-0.333257813,-0.333239583,-0.333280599,0.00298724,0.002998958,0.00352806,0.00245931,0.002085872,0.00280931,0.001955664,0.002752778,0.003235417,5.37E-14,-0.499841797,-0.865805515,0.999730469,-0.499894531,-0.8657886,0.999742188,-0.499800781,-0.865781834,0.999689454,-0.499917969,-0.865835961,0.999794922,-0.499894531,-0.865876556,0.99981836,-0.499853516,-0.865819046,0.999748047,-0.499894531,-0.865876556,0.99981836,-0.499888672,-0.865825812,0.999771484,-0.499847656,-0.8657886,0.99971875,-0.499929688,-0.865883321,0.999841797,-0.333174479,0.577160826,0.666423178,-0.333140625,0.577133763,0.666382815,-0.333165365,0.577145039,0.666404949,-0.333178385,0.577176613,0.666438804,-0.33322526,0.577221719,0.666501303,-0.333183594,0.577172103,0.666437501,-0.33322526,0.577221719,0.666501303,-0.333179687,0.577174358,0.666437502,-0.33315625,0.577142784,0.666398439,-0.333220052,0.577221719,0.666498699,0.666664581,0.666664574,0.666664204,0.666664951,0.666665212,0.666664706,0.666665301,0.666664693,0.666664409,0.666665292, (-0.5-0.8660254037844284j),0.067507161,6.118671875,48,100,1536,10000,1,-1,1,05-23_01_53,,,0.002481261
0.4,-0.33264388,-0.332602865,-0.332509115,-0.332593099,-0.332565104,-0.332546875,-0.332607422,-0.332560547,-0.332620443,-0.33253125,0.013149084,0.014124007,0.017835465,0.014869104,0.015143229,0.013975977,0.015306702,0.015494918,0.013614807,4.55E-13,-0.498962891,-0.86420878,0.997908203,-0.498857422,-0.864107293,0.997767579,-0.498681641,-0.863850192,0.997457033,-0.498880859,-0.864093761,0.997767578,-0.498769531,-0.86402272,0.997650393,-0.498839844,-0.863921233,0.997597657,-0.498828125,-0.864151271,0.997791019,-0.498751953,-0.864005805,0.997626956,-0.498916016,-0.864154654,0.997837891,-0.498705078,-0.863904318,0.997515627,-0.331938802,0.575742258,0.664576946,-0.331877604,0.575654303,0.66447018,-0.331700521,0.575451328,0.664205892,-0.331851563,0.575640771,0.664445451,-0.331835938,0.575613708,0.664414201,-0.331714844,0.575498689,0.664254077,-0.331929688,0.57571294,0.664546994,-0.331825521,0.575595666,0.664393367,-0.331902344,0.575697153,0.664519659,-0.331747396,0.575500944,0.664272287,0.666649552,0.666647727,0.6666415,0.666647805,0.666646247,0.666647805,0.666646763,0.666645416,0.66664903,0.666641902, (-0.5-0.8660254037844284j),0.069185807,6.125301042,48,100,1536,10000,1,-1,1,05-23_02_35,,,0.013351329
0.5,-0.32996875,-0.329998698,-0.330089844,-0.330158203,-0.329986979,-0.330007813,-0.329915365,-0.330047526,-0.330076172,-0.330027344,0.040796292,0.043539365,0.041921031,0.039692372,0.0445375,0.044094625,0.045884115,0.04228331,0.046414039,1.18E-12,-0.494580078,-0.856921988,0.98940626,-0.494556641,-0.857009944,0.989470725,-0.494708984,-0.857233216,0.989740252,-0.494890625,-0.857432808,0.990003915,-0.494638672,-0.856881393,0.989400393,-0.494662109,-0.856962583,0.989482426,-0.494316406,-0.856769757,0.989142622,-0.494480469,-0.85712158,0.989529351,-0.494603516,-0.857267045,0.989716841,-0.494908203,-0.856874628,0.989529311,-0.326559896,0.569510935,0.656493771,-0.326647135,0.56958987,0.656605643,-0.326795573,0.569720676,0.656792962,-0.326911458,0.56987629,0.656985606,-0.326522135,0.569481616,0.656449554,-0.326579427,0.569526722,0.656517181,-0.326532552,0.569463574,0.656439083,-0.326790365,0.56967106,0.656747332,-0.326861979,0.569808631,0.656902298,-0.326429688,0.56947034,0.656393791,0.666566927,0.666560815,0.666563909,0.666569416,0.666553968,0.666559017,0.666552919,0.666556221,0.666554769,0.666556915, (-0.5-0.8660254037844284j),0.076461068,6.14957474,48,100,1536,10000,1,-1,1,05-23_03_18,,,0.038916265
0.6,-0.324348958,-0.324333984,-0.324397786,-0.324196615,-0.323938151,-0.32427474,-0.324341146,-0.324251302,-0.324145833,-0.324152995,0.078002025,0.086320296,0.082066289,0.083374646,0.085711876,0.077525687,0.081236719,0.089886249,0.088160909,2.34E-12,-0.484648438,-0.840301743,0.970046972,-0.484712891,-0.840345721,0.97011727,-0.484625,-0.840254382,0.969994236,-0.4848125,-0.839564268,0.969490237,-0.483037109,-0.839134638,0.968231269,-0.484044922,-0.840196873,0.969654718,-0.484484375,-0.840105534,0.969795039,-0.483564453,-0.840203639,0.969420824,-0.483576172,-0.840014195,0.969262484,-0.484103516,-0.839716499,0.969267772,-0.314727865,0.555796611,0.638720206,-0.314716146,0.555848482,0.638759569,-0.314735677,0.555765037,0.638696581,-0.314027344,0.555151602,0.637813824,-0.314263021,0.554883225,0.637696354,-0.314859375,0.555713166,0.638712415,-0.314609375,0.555600402,0.638491085,-0.31503776,0.555783079,0.638861191,-0.314768229,0.555483128,0.638467339,-0.314376302,0.555264366,0.638083831,0.666316361,0.666283932,0.666282875,0.666281842,0.666241729,0.666291288,0.666276069,0.666247215,0.666262979,0.666271344, (-0.5-0.8660254037844284j),0.093360547,6.204576302,48,100,1536,10000,1,-1,1,05-23_04_01,,,0.07522847
