temperature,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,                capacity1,capacity2,capacity3,capacity4,capacity5,capacity6,capacity7,capacity8,capacity9,capacity10,                real1,imag1,abs1,real2,imag2,abs2,real3,imag3,abs3,real4,imag4,abs4,real5,imag5,abs5,real6,imag6,abs6,real7,imag7,abs7,real8,imag8,abs8,real9,imag9,abs9,real10,imag10,abs10,                Oldreal1,Oldimag1,Oldabs1,Oldreal2,Oldimag2,Oldabs2,Oldreal3,Oldimag3,Oldabs3,Oldreal4,Oldimag4,Oldabs4,Oldreal5,Oldimag5,Oldabs5,Oldreal6,Oldimag6,Oldabs6,Oldreal7,Oldimag7,Oldabs7,Oldreal8,Oldimag8,Oldabs8,Oldreal9,Oldimag9,Oldabs9,Oldreal10,Oldimag10,Oldabs10,                binder_ratio1,binder_ratio2,binder_ratio3,binder_ratio4,binder_ratio5,binder_ratio6,binder_ratio7,binder_ratio8,binder_ratio9,binder_ratio10,                gsop,accept_ratio,avg_length,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,J,k_B,
0.2,-0.333333333,-0.333333333,-0.333302083,-0.333333333,-0.333333333,-0.333333333,-0.333302083,-0.333333333,-0.333270833,-0.333333333,0,0,0.002341406,0,0,0,0.002341406,0,0.004678125,0,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.49990625,-0.865971277,0.999906251,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.49990625,-0.865971277,0.999906251,-0.5,-0.866025404,1,-0.4998125,-0.865917151,0.999812506,-0.5,-0.866025404,1,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.3333125,0.577314185,0.666625,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.3333125,0.577314185,0.666625,-0.333333333,0.577350269,0.666666667,-0.333291667,0.5772781,0.666583333,-0.333333333,0.577350269,0.666666667,0.666666667,0.666666667,0.666656374,0.666666667,0.666666667,0.666666667,0.666656374,0.666666667,0.666646094,0.666666667, (-0.5-0.8660254037844388j),0.261111458,5.409652083,12,100,96,10000,1,-1,1,05-25_02_50
0.3,-0.333083333,-0.333114583,-0.333239583,-0.333083333,-0.333270833,-0.333302083,-0.333270833,-0.333208333,-0.332895833,-0.333270833,0.008266667,0.007240625,0.003115625,0.008266667,0.002079167,0.001040625,0.002079167,0.00415,0.018545833,2.32E-10,-0.499625,-0.865375885,0.99925,-0.4994375,-0.865592391,0.999343787,-0.49971875,-0.865863024,0.999718763,-0.49971875,-0.865321758,0.999250006,-0.4998125,-0.865917151,0.999812506,-0.49990625,-0.865971277,0.999906251,-0.49990625,-0.865863024,0.9998125,-0.49971875,-0.865754771,0.999625006,-0.49925,-0.864942872,0.998687506,-0.49990625,-0.865863024,0.9998125,-0.332833333,0.576772919,0.665916682,-0.333104167,0.57702551,0.666270834,-0.333270833,0.577242016,0.666541667,-0.33275,0.57670075,0.665812524,-0.333291667,0.5772781,0.666583333,-0.3333125,0.577314185,0.666625,-0.333208333,0.577205932,0.666479168,-0.333166667,0.577133763,0.666395834,-0.332541667,0.576412075,0.665458369,-0.333208333,0.577205932,0.666479168,0.666584698,0.666594897,0.666635828,0.666584698,0.666646094,0.666656374,0.666646094,0.666625575,0.666487783,0.666646094, (-0.5-0.8660254037844388j),0.261829167,5.407735417,12,100,96,10000,1,-1,1,05-25_02_54
0.4,-0.331916667,-0.33225,-0.331833333,-0.33225,-0.331770833,-0.33209375,-0.332083333,-0.332583333,-0.332291667,-0.332239583,0.026660417,0.02143125,0.028728125,0.02143125,0.030957031,0.024143164,0.024453125,0.014896875,0.021354167,2.21E-09,-0.4971875,-0.862561302,0.995593999,-0.49775,-0.863535581,0.996718998,-0.4968125,-0.862453049,0.995312977,-0.49784375,-0.863481454,0.996718928,-0.49709375,-0.862074163,0.995125147,-0.4979375,-0.862886062,0.996250024,-0.49709375,-0.863048441,0.995969281,-0.4985,-0.864293353,0.997750094,-0.49803125,-0.863481454,0.996812594,-0.49775,-0.863535581,0.996718998,-0.330958333,0.574391349,0.662916918,-0.3316875,0.575293459,0.664062619,-0.331,0.574391349,0.662937721,-0.331604167,0.57522129,0.663958475,-0.330583333,0.574102674,0.6624796,-0.331020833,0.57464394,0.663166985,-0.331479167,0.574860446,0.663583431,-0.332166667,0.575906894,0.664833396,-0.3315625,0.57522129,0.663937666,-0.3316875,0.575293459,0.664062619,0.666142273,0.666280756,0.666097618,0.666280756,0.666062665,0.666231742,0.666141526,0.666405281,0.666275053,0.666314475, (-0.5-0.8660254037844388j),0.264128125,5.416091667,12,100,96,10000,1,-1,1,05-25_02_56
0.5,-0.3289375,-0.328916667,-0.32940625,-0.329427083,-0.329020833,-0.328614583,-0.329645833,-0.328145833,-0.32875,-0.32928125,0.0592465,0.059509333,0.050119625,0.055265625,0.0548585,0.061657958,0.0450285,0.069499833,0.059433333,6.07E-09,-0.4900625,-0.855308339,0.98575535,-0.4911875,-0.854875327,0.985939645,-0.49371875,-0.855470719,0.987718763,-0.49278125,-0.855687226,0.987438093,-0.49221875,-0.85514596,0.986688355,-0.49128125,-0.853522162,0.984813357,-0.49353125,-0.856444998,0.988469083,-0.49090625,-0.85243963,0.983688096,-0.49259375,-0.853630415,0.985562524,-0.49184375,-0.855903732,0.987158281,-0.326458333,0.56840134,0.655480836,-0.325708333,0.567896159,0.654669356,-0.3254375,0.568220918,0.654816446,-0.3260625,0.568798268,0.655628114,-0.325583333,0.568184834,0.654857627,-0.324458333,0.566669289,0.652983379,-0.3264375,0.569231281,0.656190287,-0.323583333,0.565875433,0.651859785,-0.324166667,0.566885796,0.653026441,-0.326458333,0.568906522,0.655918954,0.664684149,0.664754007,0.665102519,0.664877388,0.665010691,0.664664355,0.665240656,0.664487571,0.664757149,0.664940971, (-0.5-0.8660254037844388j),0.271832292,5.439429167,12,100,96,10000,1,-1,1,05-25_02_59
0.6,-0.32146875,-0.319739583,-0.321864583,-0.3205,-0.32153125,-0.32253125,-0.32196875,-0.322895833,-0.322145833,-0.322375,0.111217564,0.13026548,0.111423582,0.122632407,0.119598119,0.101725434,0.106270804,0.097395718,0.110200347,1.15E-08,-0.1509375,-0.644214647,0.661660518,0.7781875,-0.096994845,0.784209019,-0.47615625,-0.835876894,0.961984905,0.55659375,-0.234205745,0.603861684,-0.0055625,-0.559885424,0.559913055,-0.32796875,-0.749166101,0.817810093,-0.1405625,-0.64020928,0.655458418,-0.01053125,-0.565785222,0.565883225,-0.1175,-0.629600469,0.64047092,-0.47925,-0.833549451,0.96150156,-0.3135,0.304191423,0.436823388,-0.314125,-0.404578201,0.512208977,-0.313083333,0.552163364,0.634748418,-0.317291667,-0.231733964,0.392905373,-0.315166667,0.193268003,0.36970603,-0.314,0.438497529,0.53932929,-0.315541667,0.298490089,0.434353401,-0.317625,0.197670298,0.374111197,-0.316729167,0.282937716,0.424701208,-0.311104167,0.551622098,0.633303041,0.660108037,0.658608529,0.660851871,0.659686384,0.660262901,0.660741202,0.661053744,0.661532516,0.660496912,0.66074774, (-0.5-0.8660254037844388j),0.211677083,5.97316875,12,100,96,10000,1,-1,1,05-25_03_02
0.7,-0.30646875,-0.307729167,-0.31125,-0.308708333,-0.308302083,-0.309,-0.309229167,-0.308395833,-0.310625,-0.310364583,0.203311203,0.186399575,0.163341837,0.168229252,0.179476849,0.18055068,0.174647194,0.166385289,0.150076531,1.96E-08,0.2965,-0.311769145,0.430246732,0.2764375,-0.369251582,0.461263939,-0.317125,-0.716852528,0.78386594,0.226125,-0.390360951,0.451125468,-0.11040625,-0.584621274,0.594955103,-0.17675,-0.638368976,0.662386225,-0.05903125,-0.532551497,0.5358132,-0.189,-0.647895255,0.674899446,-0.21075,-0.661968168,0.694706714,-0.04546875,-0.544026333,0.545923125,-0.269083333,-0.054703938,0.27458762,-0.297020833,-0.02045985,0.297724673,-0.291458333,0.421898709,0.512783074,-0.292770833,0.013387309,0.293076749,-0.285,0.265869799,0.389758579,-0.291270833,0.319310783,0.432201428,-0.276020833,0.215459904,0.350157779,-0.291895833,0.331290801,0.441539095,-0.294895833,0.345580221,0.454300827,-0.285895833,0.213439178,0.356781039,0.64621983,0.647381661,0.651114392,0.649442784,0.648749807,0.65021508,0.648525546,0.650567672,0.652853854,0.650425049, (-0.5-0.8660254037844388j),0.244485417,6.122010417,12,100,96,10000,1,-1,1,05-25_03_05
0.8,-0.291697917,-0.29259375,-0.291822917,-0.293552083,-0.292864583,-0.29125,-0.2960625,-0.291447917,-0.291927083,-0.296177083,0.196728369,0.202784489,0.216646729,0.194339827,0.193192952,0.20921875,0.184861914,0.201311182,0.194602458,2.03E-08,-0.14140625,-0.562429373,0.579933209,-0.1609375,-0.547436308,0.570602656,0.129,-0.392850774,0.413488489,-0.042,-0.483783441,0.485603149,-0.073125,-0.523404103,0.528487579,-0.1516875,-0.544296966,0.565038304,-0.13571875,-0.568275045,0.584256883,-0.0738125,-0.495583037,0.50104973,-0.1486875,-0.531306585,0.55171973,-0.08771875,-0.531144205,0.538338877,-0.250270833,0.277597226,0.373758893,-0.238020833,0.279545783,0.367150871,-0.252333333,0.073973003,0.262952688,-0.245875,0.19817548,0.315797461,-0.253770833,0.226213052,0.339958793,-0.238270833,0.27853542,0.366544636,-0.259416667,0.277128129,0.379601116,-0.238229167,0.218274486,0.323105071,-0.232041667,0.266086305,0.353051352,-0.2575,0.235991923,0.349282747,0.633463743,0.633112016,0.629806759,0.634809145,0.634859832,0.630694819,0.637114113,0.632306758,0.631523081,0.638922654, (-0.5-0.8660254037844388j),0.300208333,6.244779167,12,100,96,10000,1,-1,1,05-25_03_07
0.85,-0.283447917,-0.2853125,-0.284541667,-0.286427083,-0.284270833,-0.285666667,-0.28146875,-0.28440625,-0.284895833,-0.283979167,0.207273342,0.178401096,0.20155917,0.197001024,0.191665225,0.194092042,0.213301024,0.200882223,0.202299596,2.30E-08,-0.09009375,-0.484703593,0.493005534,-0.07790625,-0.498126987,0.504182387,-0.11503125,-0.524649015,0.537111513,-0.086625,-0.50521757,0.512590171,-0.08928125,-0.492497822,0.50052497,0.01503125,-0.476151592,0.476388788,-0.0188125,-0.453689058,0.454078927,0.0054375,-0.440698677,0.440732221,-0.08453125,-0.489466733,0.496712407,-0.09284375,-0.497585721,0.506173401,-0.223604167,0.223470639,0.316129641,-0.234333333,0.217661051,0.319825647,-0.235583333,0.253168093,0.345823062,-0.237020833,0.228017272,0.328893222,-0.226395833,0.224481002,0.318820943,-0.2518125,0.170859595,0.304306649,-0.228416667,0.181143647,0.291525633,-0.229895833,0.161261147,0.280815334,-0.228041667,0.223506723,0.31930903,-0.227916667,0.232383483,0.325496682,0.621035468,0.628661036,0.62365256,0.624512394,0.625103433,0.626910989,0.619287022,0.621913032,0.624173594,0.620806441, (-0.5-0.8660254037844388j),0.325310417,6.368610417,12,100,96,10000,1,-1,1,05-25_03_10
0.9,-0.273291667,-0.271645833,-0.276822917,-0.274479167,-0.273989583,-0.277208333,-0.275197917,-0.274375,-0.275072917,-0.2760625,0.198640741,0.202673817,0.1902826,0.188393776,0.198343506,0.188701852,0.188392991,0.19159465,0.199657292,2.15E-08,0.0391875,-0.411686826,0.413547704,0.01246875,-0.403513712,0.403706311,0.02,-0.439183133,0.439638288,0.12084375,-0.349495377,0.369797553,-0.056125,-0.464189616,0.467570332,-0.0325,-0.461808047,0.462950237,0.04728125,-0.39972485,0.402511457,-0.051,-0.450982729,0.45385727,-0.028875,-0.423378169,0.424361685,-0.1023125,-0.473391136,0.484321191,-0.219479167,0.140043525,0.260352249,-0.2076875,0.148775947,0.25547677,-0.231270833,0.155631982,0.278760672,-0.217333333,0.074333847,0.229693924,-0.214833333,0.20409332,0.296323209,-0.225104167,0.187674922,0.293076376,-0.219791667,0.130625498,0.255678309,-0.209104167,0.193087581,0.28461793,-0.205125,0.176885689,0.270859396,-0.20625,0.226682149,0.306469998,0.607854719,0.604619374,0.614465937,0.6135754,0.61032359,0.616281852,0.612651003,0.614581217,0.610611224,0.612757703, (-0.5-0.8660254037844388j),0.344980208,6.56536875,12,100,96,10000,1,-1,1,05-25_03_13
0.95,-0.266385417,-0.266333333,-0.268875,-0.267697917,-0.264385417,-0.265708333,-0.267572917,-0.265083333,-0.2649375,-0.26621875,0.171545141,0.180417544,0.180455402,0.185184661,0.18250045,0.17229843,0.184637939,0.190942936,0.203620083,2.03E-08,-0.0121875,-0.429007334,0.429180414,-0.01303125,-0.420076447,0.420278521,-0.012,-0.407140193,0.407316998,0.00190625,-0.398967078,0.398971632,0.03075,-0.358859277,0.360174323,0.008625,-0.405516395,0.405608108,-0.00059375,-0.406111788,0.406112222,0.0250625,-0.37704581,0.377877853,0.00140625,-0.410008902,0.410011314,0.10684375,-0.316694665,0.334232101,-0.209208333,0.176091832,0.273452848,-0.204395833,0.171436946,0.266773842,-0.19625,0.163967476,0.255733056,-0.201354167,0.151879205,0.252211803,-0.183458333,0.127233566,0.2232607,-0.204020833,0.157364033,0.257658571,-0.1988125,0.155848488,0.252616629,-0.193166667,0.136687676,0.236636603,-0.199020833,0.161910666,0.256562577,-0.1928125,0.067802572,0.204386519,0.601204196,0.602581147,0.604415832,0.601258759,0.5949291,0.603697623,0.603748637,0.594958832,0.593906654,0.599736775, (-0.5-0.8660254037844388j),0.370376042,6.699970833,12,100,96,10000,1,-1,1,05-25_03_17
1,-0.26075,-0.259520833,-0.258072917,-0.2583125,-0.260739583,-0.257,-0.259802083,-0.26134375,-0.260020833,-0.258854167,0.161301833,0.163756292,0.16477474,0.164304125,0.16745874,0.163296,0.171515823,0.16501124,0.149630792,1.76E-08,-0.017625,-0.392526014,0.392921509,-0.05203125,-0.418344397,0.421567652,-0.01178125,-0.372120291,0.37230674,0.05028125,-0.364001303,0.367457688,-0.0378125,-0.410820801,0.412557288,0.02484375,-0.380455785,0.38126607,0.0056875,-0.394907584,0.394948538,-0.041125,-0.437451082,0.439379921,0.03434375,-0.345056997,0.346761913,-0.0096875,-0.402052294,0.402168988,-0.186520833,0.166818143,0.250236517,-0.183625,0.19103077,0.264973387,-0.177229167,0.154044269,0.234818684,-0.190458333,0.121315725,0.225813821,-0.1865625,0.178437318,0.258157786,-0.188041667,0.143110698,0.236305608,-0.194770833,0.152384387,0.247298764,-0.201333333,0.19521656,0.280436475,-0.1779375,0.112042037,0.21027404,-0.189458333,0.163678801,0.250370146,0.596552646,0.592286873,0.587644872,0.589258442,0.590896719,0.590910917,0.590267217,0.595233276,0.59551471,0.590576663, (-0.5-0.8660254037844388j),0.400528125,6.751704167,12,100,96,10000,1,-1,1,05-25_03_20
