temperature,energy1,energy2,energy3,energy4,energy5,capacity1,capacity2,capacity3,capacity4,capacity5,orderParm1,orderParm2,orderParm3,orderParm4,orderParm5,binderratio1,binderratio2,binderratio3,binderratio4,binderratio5,gsop,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date,,,average_capacity
1.2,-0.234558642,-0.234648148,-0.234114198,-0.233771605,-0.234482253,0.091849846,0.098834654,0.087580513,0.097172377,0.098374635, (-0.2012175925925926+0.18775110003897078j), (-0.1975023148148148+0.12056597183889747j), (-0.17451388888888886+0.1621792943661136j), (-0.17863657407407407+0.12566589921673915j), (-0.17014583333333333+0.1867046526760646j),0.56539996,0.554843906,0.544601385,0.565896121,0.563893158, (-0.5+0.8660254037844387j),0.422306944,7.134658333,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.094762405
1.25,-0.229592593,-0.229678241,-0.22976466,-0.227341821,-0.229778549,0.087260887,0.0923612,0.08514784,0.087904086,0.09465884, (-0.17203935185185185+0.11407880006425292j), (-0.16037268518518516+0.1601625778008193j), (-0.16942824074074073+0.11050243589677274j), (-0.1356574074074074+0.1101616388628761j), (-0.13889583333333333+0.1470599341917103j),0.568889852,0.546747313,0.5469159,0.452801465,0.554900876, (-0.5+0.8660254037844387j),0.445892901,7.19819537,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.089466571
1.3,-0.225697531,-0.225631173,-0.225462191,-0.225318673,-0.226049383,0.080624034,0.079618341,0.078309865,0.071677456,0.080120169, (-0.18804398148148146+0.0938314468739223j), (-0.16001388888888887+0.12005678097648718j), (-0.13864814814814813+0.11551816636035761j), (-0.15948148148148147+0.14060082805515134j), (-0.15329166666666666+0.12696092794554645j),0.558354072,0.549371581,0.52703318,0.517927586,0.556923673, (-0.5+0.8660254037844387j),0.463494599,7.255441667,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.078069973
1.35,-0.222318673,-0.222452932,-0.223056327,-0.222581019,-0.222042438,0.072702067,0.066744398,0.067909041,0.072880479,0.073513824, (-0.14203472222222224+0.12237821018385378j), (-0.15925925925925924+0.13086606101631515j), (-0.15321296296296294+0.1391253773672223j), (-0.1600949074074074+0.11814430820979652j), (-0.14030787037037035+0.1482066159763508j),0.559221423,0.55117189,0.536763371,0.539552461,0.535961813, (-0.5+0.8660254037844387j),0.482422222,7.286252778,36,5000,1296,5000,1,-1,1,05-20_02_24,,,0.070749962
1.4,-0.218716821,-0.219180556,-0.219310185,-0.218975309,-0.218753086,0.058776672,0.064079678,0.066951264,0.065105637,0.063880222, (-0.12500925925925926+0.10858194437634335j), (-0.1305625+0.12700503109110953j), (-0.14773842592592593+0.12054993433141996j), (-0.15252546296296293+0.08220425395274233j), (-0.13165046296296296+0.09755214860869989j),0.519429126,0.531123534,0.542727291,0.542546575,0.530823578, (-0.5+0.8660254037844387j),0.49900571,7.339496605,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.063758695
1.45,-0.215901235,-0.21658642,-0.21478858,-0.214935957,-0.215165895,0.059634744,0.05500271,0.056660224,0.055327561,0.062096114, (-0.12662962962962962+0.10224712892273496j), (-0.1387986111111111+0.10832133487983416j), (-0.11333564814814816+0.08872350074234185j), (-0.10702777777777778+0.08241675092681906j), (-0.09842361111111111+0.10052710624577421j),0.513813309,0.546563512,0.482974941,0.441557456,0.47790341, (-0.5+0.8660254037844387j),0.517210031,7.375306173,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.057744271
1.5,-0.214441358,-0.213585648,-0.213433642,-0.213260031,-0.21243287,0.059263698,0.054518433,0.056691324,0.05319231,0.052114208, (-0.13055092592592593+0.1313231299794236j), (-0.1368888888888889+0.11425120326963592j), (-0.11435879629629628+0.12366121078205296j), (-0.1310185185185185+0.07375649688897468j), (-0.0985625+0.08622164957585346j),0.533365777,0.54367007,0.520382355,0.534609614,0.501202374, (-0.5+0.8660254037844387j),0.531628549,7.40717037,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.055155995
1.55,-0.209832562,-0.210952932,-0.210502315,-0.211101852,-0.211107253,0.048318929,0.053935257,0.052646189,0.052771758,0.04782344, (-0.082125+0.10020234671935503j), (-0.11248148148148149+0.10158157236241915j), (-0.09253472222222221+0.10156954423181103j), (-0.10685185185185185+0.09770851430660539j), (-0.10731249999999999+0.09502624118099527j),0.450606063,0.505043023,0.459059707,0.506403636,0.487144775, (-0.5+0.8660254037844387j),0.54716358,7.430071296,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.051099115
1.6,-0.208566358,-0.208452932,-0.208625,-0.20938966,-0.208691358,0.045604503,0.047201418,0.04844085,0.048582429,0.048392501, (-0.1127986111111111+0.11669291378308373j), (-0.10799999999999998+0.09095672365858228j), (-0.10715046296296295+0.11210618664452168j), (-0.10331018518518517+0.11801199877310722j), (-0.1010787037037037+0.10501359896260191j),0.514832289,0.50076403,0.536621116,0.545049585,0.473219499, (-0.5+0.8660254037844387j),0.559506636,7.466662654,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.04764434
1.65,-0.20570679,-0.206289352,-0.20646142,-0.206431327,-0.206575617,0.042819549,0.040874457,0.04145907,0.04307689,0.045410535, (-0.09911111111111111+0.09263264318997995j), (-0.0859351851851852+0.11334508409715775j), (-0.10163425925925926+0.09205529292079033j), (-0.10043287037037037+0.11180949275618812j), (-0.08555092592592592+0.10713856870336928j),0.470316138,0.477277504,0.506090863,0.533474279,0.511918155, (-0.5+0.8660254037844387j),0.572969444,7.492948148,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.0427281
1.7,-0.204570216,-0.204576389,-0.204772377,-0.204945988,-0.203828704,0.04310091,0.041327545,0.039795264,0.041101152,0.040240868, (-0.08313888888888889+0.11162105204332765j), (-0.08138425925925927+0.11486864730751926j), (-0.09775694444444442+0.1087623663354651j), (-0.10117824074074074+0.10374262649501086j), (-0.08750231481481481+0.07987079661476759j),0.475528212,0.488449626,0.511415791,0.507213863,0.462777928, (-0.5+0.8660254037844387j),0.584690741,7.513017593,36,5000,1296,5000,1,-1,1,05-20_03_07,,,0.041113148
1.75,-0.202641975,-0.202186728,-0.202666667,-0.202351852,-0.202541667,0.037623236,0.037466577,0.039013773,0.037347568,0.037330805, (-0.09157407407407407+0.09304159963065592j), (-0.07881250000000001+0.0980412925867633j), (-0.08780324074074074+0.08647824969549331j), (-0.08372685185185184+0.09527081317002697j), (-0.09044212962962962+0.09962098707329603j),0.478893873,0.483240586,0.484582588,0.489759247,0.490871583, (-0.5+0.8660254037844387j),0.596370525,7.551798148,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.037756392
1.8,-0.201425926,-0.200873457,-0.200444444,-0.200521605,-0.201304012,0.03486504,0.03820487,0.034765047,0.035417768,0.037021295, (-0.10343055555555554+0.0894411792019595j), (-0.09176388888888888+0.09719531406732573j), (-0.08888194444444443+0.09137770822986638j), (-0.0886875+0.08282169799062566j), (-0.09488194444444445+0.0919710960065335j),0.516712308,0.496442019,0.477068793,0.459509391,0.521328386, (-0.5+0.8660254037844387j),0.605920216,7.577151235,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.036054804
1.85,-0.199381173,-0.199064815,-0.199185185,-0.199573302,-0.199459877,0.030123726,0.032116769,0.032921044,0.034217188,0.034590446, (-0.0903449074074074+0.0917225146406324j), (-0.09538425925925925+0.08942514169448203j), (-0.09068518518518519+0.07370838436654222j), (-0.09710185185185186+0.09652975750700991j), (-0.07497685185185185+0.09029918585200519j),0.516474477,0.49369201,0.491130349,0.511798507,0.504936416, (-0.5+0.8660254037844387j),0.617095062,7.600390123,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.032793835
1.9,-0.197688272,-0.197406636,-0.197716049,-0.198385802,-0.19847608,0.032633627,0.03158046,0.029879365,0.032145005,0.03134776, (-0.08072685185185186+0.07939368076731228j), (-0.07868518518518519+0.08381201407736066j), (-0.08832407407407408+0.08112573157488115j), (-0.07545138888888889+0.09893939300550272j), (-0.07918287037037038+0.10056720001446792j),0.447918226,0.473437477,0.478606954,0.489360775,0.50915105, (-0.5+0.8660254037844387j),0.626797068,7.623735802,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.031517243
1.95,-0.195756173,-0.196058642,-0.196914352,-0.195712963,-0.196172068,0.029831738,0.027619,0.032237279,0.027386804,0.03015314, (-0.07478240740740741+0.08846289124583265j), (-0.08213425925925927+0.08450964565263147j), (-0.08961111111111111+0.0910689862109247j), (-0.06997222222222221+0.08581670251204686j), (-0.07571064814814814+0.0902711202139196j),0.460918257,0.481392978,0.490884196,0.474318434,0.498073333, (-0.5+0.8660254037844387j),0.636339352,7.638574383,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.029445592
2,-0.194721451,-0.195216821,-0.195113426,-0.195078704,-0.194972994,0.028202955,0.02688098,0.028391457,0.027960709,0.029425111, (-0.0755648148148148+0.08099743151506122j), (-0.06712037037037037+0.07807058640041939j), (-0.07487962962962962+0.08781337219299432j), (-0.08341666666666665+0.08500680838443364j), (-0.07871064814814815+0.07850760847918098j),0.479817369,0.442235032,0.466422112,0.495391662,0.490474953, (-0.5+0.8660254037844387j),0.644287654,7.663791975,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.028172242
2.1,-0.192388889,-0.192705247,-0.191773148,-0.191779321,-0.192368827,0.02501559,0.024917675,0.02551975,0.024688538,0.027166425, (-0.06647222222222221+0.0905156922029513j), (-0.06393055555555555+0.0861294339078579j), (-0.06274768518518518+0.07392890009435771j), (-0.06534953703703704+0.08392026725283373j), (-0.06900462962962964+0.0958642009466941j),0.455719245,0.46583608,0.425139056,0.469502832,0.449937917, (-0.5+0.8660254037844387j),0.661746296,7.700154938,36,5000,1296,5000,1,-1,1,05-20_03_51,,,0.025461596
2.2,-0.189926698,-0.18933642,-0.189395833,-0.18954321,-0.189824074,0.021760849,0.022447582,0.023159969,0.02246456,0.022010167, (-0.05717361111111111+0.06611863395282026j), (-0.05568518518518518+0.08087715020898005j), (-0.05482175925925925+0.06935019170953441j), (-0.06263888888888888+0.07200038982018957j), (-0.05885879629629629+0.08108162842931804j),0.42392824,0.421751589,0.452512269,0.424702012,0.458404827, (-0.5+0.8660254037844387j),0.677021451,7.735134877,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.022368625
2.3,-0.187459105,-0.188281636,-0.187618827,-0.188338735,-0.187981481,0.018486457,0.019845684,0.019398686,0.021852819,0.020430264, (-0.06149768518518518+0.06982329818012034j), (-0.06302546296296296+0.07938165263670416j), (-0.07289583333333333+0.07732083292584675j), (-0.06207638888888889+0.07645480752206231j), (-0.056763888888888885+0.08028376243231296j),0.443684678,0.44879918,0.447235236,0.452944017,0.455071509, (-0.5+0.8660254037844387j),0.689824383,7.768901543,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.020002782
2.4,-0.186706019,-0.186118827,-0.186072531,-0.18610108,-0.185330247,0.018436021,0.020381877,0.019754895,0.018806803,0.016631389, (-0.0591412037037037+0.0651964772728646j), (-0.05830092592592592+0.07708427969055377j), (-0.05617824074074074+0.07164355527881541j), (-0.06165972222222221+0.07250958068259986j), (-0.05216898148148148+0.07084969865867968j),0.456257985,0.456529673,0.441535572,0.466510394,0.42651762, (-0.5+0.8660254037844387j),0.702486574,7.800059259,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.018802197
2.5,-0.184574074,-0.184227623,-0.184070988,-0.18475463,-0.183699074,0.01725935,0.016736163,0.017399366,0.017561066,0.016699818, (-0.06384722222222222+0.06764620654005114j), (-0.053122685185185176+0.06853227882818243j), (-0.04929398148148148+0.07310296845926698j), (-0.04671527777777778+0.07463455042336725j), (-0.04672222222222222+0.05980386538355873j),0.463667824,0.420148198,0.406213521,0.435062055,0.405021323, (-0.5+0.8660254037844387j),0.714032716,7.826094444,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.017131153
2.6,-0.18251929,-0.181540895,-0.181571759,-0.182608796,-0.182939043,0.014586298,0.016561915,0.016240288,0.01419617,0.015912535, (-0.048650462962962965+0.06844407253705624j), (-0.0344375+0.06029701873849153j), (-0.04255787037037037+0.05874138051317505j), (-0.051312500000000004+0.0725175994363386j), (-0.048099537037037024+0.06266255109142126j),0.41619255,0.378266342,0.342058104,0.440918034,0.430874001, (-0.5+0.8660254037844387j),0.726292593,7.839869753,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.015499441
2.7,-0.181457562,-0.181555556,-0.180759259,-0.181469907,-0.181469136,0.014757494,0.014146766,0.015688486,0.013980209,0.01322018, (-0.049166666666666664+0.0805804563206465j), (-0.0466087962962963+0.07246146816016738j), (-0.0436736111111111+0.06733748452110948j), (-0.04898148148148148+0.06051753446630701j), (-0.04706481481481481+0.06788676915221348j),0.459346355,0.42051299,0.433166206,0.427674625,0.427680473, (-0.5+0.8660254037844387j),0.735156327,7.880466358,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.014358627
2.8,-0.180007716,-0.179715278,-0.179807099,-0.179496914,-0.180313272,0.013064522,0.012817803,0.01346363,0.014365593,0.013337093, (-0.04198148148148148+0.06728536262180762j), (-0.05427083333333333+0.06702475312529842j), (-0.04705555555555555+0.0751036475170838j), (-0.045611111111111116+0.05989207167468492j), (-0.04398148148148148+0.0701801327214945j),0.430683076,0.426672106,0.447222533,0.429030536,0.416262083, (-0.5+0.8660254037844387j),0.744664815,7.901737654,36,5000,1296,5000,1,-1,1,05-20_04_34,,,0.013409728
2.9,-0.174717593,-0.178460648,-0.178405093,-0.17877392,-0.178747685,0.011862866,0.01287046,0.012109301,0.011147399,0.012044134, (-0.021555555555555557+0.02886751345948128j), (-0.05282638888888889+0.06564552748223432j), (-0.042212962962962966+0.07028437652009818j), (-0.040615740740740744+0.07091785806545903j), (-0.04359953703703704+0.07256571195877108j),0.319667881,0.428933605,0.4322098,0.430098407,0.436605499, (-0.5+0.8660254037844387j),0.755052778,7.904337963,36,5000,1296,5000,1,-1,1,05-20_05_20,,,0.012006832
3,-0.177491512,-0.177804012,-0.177371914,-0.177385031,-0.177883488,0.012036193,0.012443042,0.01103499,0.011638299,0.011973477, (-0.04037962962962963+0.06178449755702869j), (-0.04054398148148148+0.062277650911961496j), (-0.03603472222222222+0.06982329818012037j), (-0.03807175925925927+0.06015268117119412j), (-0.049173611111111105+0.0714430864353468j),0.386708758,0.430451876,0.411268239,0.413196013,0.444721851, (-0.5+0.8660254037844387j),0.761560957,7.935470679,36,5000,1296,5000,1,-1,1,05-20_05_20,,,0.0118252
4,-0.169556327,-0.168578704,-0.169097994,-0.169184414,-0.169255401,0.006621527,0.006937959,0.006244608,0.006370844,0.006301455, (-0.03440740740740741+0.057831251963827504j), (-0.029106481481481483+0.05212991805557995j), (-0.03357175925925926+0.054675872367631426j), (-0.032092592592592596+0.04893845406755952j), (-0.03301620370370369+0.0578031863257419j),0.400897783,0.410203595,0.376876421,0.379405918,0.405965067, (-0.5+0.8660254037844387j),0.820209414,8.089290741,36,5000,1296,5000,1,-1,1,05-20_05_20,,,0.006495279
5,-0.164162809,-0.164540123,-0.164573302,-0.163623457,-0.164332562,0.003677067,0.004089767,0.004317612,0.004186693,0.004200567, (-0.02646296296296296+0.051753036629858945j), (-0.030305555555555554+0.050149285882109984j), (-0.028131944444444442+0.04992075140055576j), (-0.026569444444444444+0.04047866887318375j), (-0.021824074074074072+0.04994079828490262j),0.378752603,0.377429817,0.394026628,0.343705549,0.364071183, (-0.5+0.8660254037844387j),0.856371605,8.18406821,36,5000,1296,5000,1,-1,1,05-20_05_20,,,0.004094341
6,-0.161279321,-0.161354167,-0.16063966,-0.161178241,-0.161003086,0.003059664,0.002863421,0.002712605,0.002869046,0.002766855, (-0.023203703703703702+0.04571491506458411j), (-0.01589351851851852+0.04741489085719801j), (-0.023560185185185184+0.040422537597012545j), (-0.018956018518518518+0.052454677581999114j), (-0.02185648148148148+0.043782395413546615j),0.360665464,0.39839814,0.325190072,0.414024439,0.381236151, (-0.5+0.8660254037844387j),0.880412654,8.239929938,36,5000,1296,5000,1,-1,1,05-20_05_20,,,0.002854318
